 ,England and Wales,Age (6 categories) Code,Age (6 categories),Ethnic group (20 categories) Code,Ethnic group (20 categories),Year of arrival in the UK (11 categories) Code,Year of arrival in the UK (11 categories),Observation
K04000001,England and Wales,2,Aged 16 to 24 years,-8,Does not apply,4,Arrived 1981 to 1990,0
K04000001,England and Wales,2,Aged 16 to 24 years,-8,Does not apply,5,Arrived 1991 to 2000,0
K04000001,England and Wales,2,Aged 16 to 24 years,-8,Does not apply,6,Arrived 2001 to 2010,0
K04000001,England and Wales,2,Aged 16 to 24 years,-8,Does not apply,7,Arrived 2011 to 2013,0
K04000001,England and Wales,2,Aged 16 to 24 years,-8,Does not apply,8,Arrived 2014 to 2016,0
K04000001,England and Wales,2,Aged 16 to 24 years,-8,Does not apply,9,Arrived 2017 to 2019,0
K04000001,England and Wales,2,Aged 16 to 24 years,-8,Does not apply,10,Arrived 2020 to 2021,0
K04000001,England and Wales,2,Aged 16 to 24 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",-8,Does not apply,0
K04000001,England and Wales,2,Aged 16 to 24 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",1,Born in the UK,83878
K04000001,England and Wales,2,Aged 16 to 24 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",2,Arrived before 1971,0
K04000001,England and Wales,2,Aged 16 to 24 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",3,Arrived 1971 to 1980,0
K04000001,England and Wales,2,Aged 16 to 24 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",4,Arrived 1981 to 1990,0
K04000001,England and Wales,2,Aged 16 to 24 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",5,Arrived 1991 to 2000,1234
K04000001,England and Wales,2,Aged 16 to 24 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",6,Arrived 2001 to 2010,6456
K04000001,England and Wales,2,Aged 16 to 24 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",7,Arrived 2011 to 2013,2940
K04000001,England and Wales,2,Aged 16 to 24 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",8,Arrived 2014 to 2016,3655
K04000001,England and Wales,2,Aged 16 to 24 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",9,Arrived 2017 to 2019,4372
K04000001,England and Wales,2,Aged 16 to 24 years,1,"Asian, Asian British or Asian Welsh: Bangladeshi",10,Arrived 2020 to 2021,2505
K04000001,England and Wales,2,Aged 16 to 24 years,2,"Asian, Asian British or Asian Welsh: Chinese",-8,Does not apply,0
K04000001,England and Wales,2,Aged 16 to 24 years,2,"Asian, Asian British or Asian Welsh: Chinese",1,Born in the UK,18990
K04000001,England and Wales,2,Aged 16 to 24 years,2,"Asian, Asian British or Asian Welsh: Chinese",2,Arrived before 1971,0
K04000001,England and Wales,2,Aged 16 to 24 years,2,"Asian, Asian British or Asian Welsh: Chinese",3,Arrived 1971 to 1980,0
K04000001,England and Wales,2,Aged 16 to 24 years,2,"Asian, Asian British or Asian Welsh: Chinese",4,Arrived 1981 to 1990,0
K04000001,England and Wales,2,Aged 16 to 24 years,2,"Asian, Asian British or Asian Welsh: Chinese",5,Arrived 1991 to 2000,864
K04000001,England and Wales,2,Aged 16 to 24 years,2,"Asian, Asian British or Asian Welsh: Chinese",6,Arrived 2001 to 2010,5124
K04000001,England and Wales,2,Aged 16 to 24 years,2,"Asian, Asian British or Asian Welsh: Chinese",7,Arrived 2011 to 2013,2340
K04000001,England and Wales,2,Aged 16 to 24 years,2,"Asian, Asian British or Asian Welsh: Chinese",8,Arrived 2014 to 2016,4275
K04000001,England and Wales,2,Aged 16 to 24 years,2,"Asian, Asian British or Asian Welsh: Chinese",9,Arrived 2017 to 2019,16485
K04000001,England and Wales,2,Aged 16 to 24 years,2,"Asian, Asian British or Asian Welsh: Chinese",10,Arrived 2020 to 2021,35912
K04000001,England and Wales,2,Aged 16 to 24 years,3,"Asian, Asian British or Asian Welsh: Indian",-8,Does not apply,0
K04000001,England and Wales,2,Aged 16 to 24 years,3,"Asian, Asian British or Asian Welsh: Indian",1,Born in the UK,121392
K04000001,England and Wales,2,Aged 16 to 24 years,3,"Asian, Asian British or Asian Welsh: Indian",2,Arrived before 1971,0
K04000001,England and Wales,2,Aged 16 to 24 years,3,"Asian, Asian British or Asian Welsh: Indian",3,Arrived 1971 to 1980,0
K04000001,England and Wales,2,Aged 16 to 24 years,3,"Asian, Asian British or Asian Welsh: Indian",4,Arrived 1981 to 1990,0
K04000001,England and Wales,2,Aged 16 to 24 years,3,"Asian, Asian British or Asian Welsh: Indian",5,Arrived 1991 to 2000,1926
K04000001,England and Wales,2,Aged 16 to 24 years,3,"Asian, Asian British or Asian Welsh: Indian",6,Arrived 2001 to 2010,22024
K04000001,England and Wales,2,Aged 16 to 24 years,3,"Asian, Asian British or Asian Welsh: Indian",7,Arrived 2011 to 2013,4993
K04000001,England and Wales,2,Aged 16 to 24 years,3,"Asian, Asian British or Asian Welsh: Indian",8,Arrived 2014 to 2016,9012
K04000001,England and Wales,2,Aged 16 to 24 years,3,"Asian, Asian British or Asian Welsh: Indian",9,Arrived 2017 to 2019,15744
K04000001,England and Wales,2,Aged 16 to 24 years,3,"Asian, Asian British or Asian Welsh: Indian",10,Arrived 2020 to 2021,22901
K04000001,England and Wales,2,Aged 16 to 24 years,4,"Asian, Asian British or Asian Welsh: Pakistani",-8,Does not apply,0
K04000001,England and Wales,2,Aged 16 to 24 years,4,"Asian, Asian British or Asian Welsh: Pakistani",1,Born in the UK,185210
K04000001,England and Wales,2,Aged 16 to 24 years,4,"Asian, Asian British or Asian Welsh: Pakistani",2,Arrived before 1971,0
K04000001,England and Wales,2,Aged 16 to 24 years,4,"Asian, Asian British or Asian Welsh: Pakistani",3,Arrived 1971 to 1980,0
K04000001,England and Wales,2,Aged 16 to 24 years,4,"Asian, Asian British or Asian Welsh: Pakistani",4,Arrived 1981 to 1990,0
K04000001,England and Wales,2,Aged 16 to 24 years,4,"Asian, Asian British or Asian Welsh: Pakistani",5,Arrived 1991 to 2000,2708
K04000001,England and Wales,2,Aged 16 to 24 years,4,"Asian, Asian British or Asian Welsh: Pakistani",6,Arrived 2001 to 2010,18970
K04000001,England and Wales,2,Aged 16 to 24 years,4,"Asian, Asian British or Asian Welsh: Pakistani",7,Arrived 2011 to 2013,5599
K04000001,England and Wales,2,Aged 16 to 24 years,4,"Asian, Asian British or Asian Welsh: Pakistani",8,Arrived 2014 to 2016,6843
K04000001,England and Wales,2,Aged 16 to 24 years,4,"Asian, Asian British or Asian Welsh: Pakistani",9,Arrived 2017 to 2019,10334
K04000001,England and Wales,2,Aged 16 to 24 years,4,"Asian, Asian British or Asian Welsh: Pakistani",10,Arrived 2020 to 2021,6021
K04000001,England and Wales,2,Aged 16 to 24 years,5,"Asian, Asian British or Asian Welsh: Other Asian",-8,Does not apply,0
K04000001,England and Wales,2,Aged 16 to 24 years,5,"Asian, Asian British or Asian Welsh: Other Asian",1,Born in the UK,49037
K04000001,England and Wales,2,Aged 16 to 24 years,5,"Asian, Asian British or Asian Welsh: Other Asian",2,Arrived before 1971,0
K04000001,England and Wales,2,Aged 16 to 24 years,5,"Asian, Asian British or Asian Welsh: Other Asian",3,Arrived 1971 to 1980,0
K04000001,England and Wales,2,Aged 16 to 24 years,5,"Asian, Asian British or Asian Welsh: Other Asian",4,Arrived 1981 to 1990,0
K04000001,England and Wales,2,Aged 16 to 24 years,5,"Asian, Asian British or Asian Welsh: Other Asian",5,Arrived 1991 to 2000,2315
K04000001,England and Wales,2,Aged 16 to 24 years,5,"Asian, Asian British or Asian Welsh: Other Asian",6,Arrived 2001 to 2010,31974
K04000001,England and Wales,2,Aged 16 to 24 years,5,"Asian, Asian British or Asian Welsh: Other Asian",7,Arrived 2011 to 2013,7630
K04000001,England and Wales,2,Aged 16 to 24 years,5,"Asian, Asian British or Asian Welsh: Other Asian",8,Arrived 2014 to 2016,8922
K04000001,England and Wales,2,Aged 16 to 24 years,5,"Asian, Asian British or Asian Welsh: Other Asian",9,Arrived 2017 to 2019,13754
K04000001,England and Wales,2,Aged 16 to 24 years,5,"Asian, Asian British or Asian Welsh: Other Asian",10,Arrived 2020 to 2021,11532
K04000001,England and Wales,2,Aged 16 to 24 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",-8,Does not apply,0
K04000001,England and Wales,2,Aged 16 to 24 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",1,Born in the UK,106470
K04000001,England and Wales,2,Aged 16 to 24 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",2,Arrived before 1971,0
K04000001,England and Wales,2,Aged 16 to 24 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",3,Arrived 1971 to 1980,0
K04000001,England and Wales,2,Aged 16 to 24 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",4,Arrived 1981 to 1990,0
K04000001,England and Wales,2,Aged 16 to 24 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",5,Arrived 1991 to 2000,4583
K04000001,England and Wales,2,Aged 16 to 24 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",6,Arrived 2001 to 2010,54211
K04000001,England and Wales,2,Aged 16 to 24 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",7,Arrived 2011 to 2013,14017
K04000001,England and Wales,2,Aged 16 to 24 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",8,Arrived 2014 to 2016,18486
K04000001,England and Wales,2,Aged 16 to 24 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",9,Arrived 2017 to 2019,24071
K04000001,England and Wales,2,Aged 16 to 24 years,6,"Black, Black British, Black Welsh, Caribbean or African: African",10,Arrived 2020 to 2021,11219
K04000001,England and Wales,2,Aged 16 to 24 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",-8,Does not apply,0
K04000001,England and Wales,2,Aged 16 to 24 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1,Born in the UK,59494
K04000001,England and Wales,2,Aged 16 to 24 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2,Arrived before 1971,0
K04000001,England and Wales,2,Aged 16 to 24 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3,Arrived 1971 to 1980,0
K04000001,England and Wales,2,Aged 16 to 24 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4,Arrived 1981 to 1990,0
K04000001,England and Wales,2,Aged 16 to 24 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5,Arrived 1991 to 2000,896
K04000001,England and Wales,2,Aged 16 to 24 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",6,Arrived 2001 to 2010,4132
K04000001,England and Wales,2,Aged 16 to 24 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",7,Arrived 2011 to 2013,959
K04000001,England and Wales,2,Aged 16 to 24 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",8,Arrived 2014 to 2016,1284
K04000001,England and Wales,2,Aged 16 to 24 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",9,Arrived 2017 to 2019,2437
K04000001,England and Wales,2,Aged 16 to 24 years,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",10,Arrived 2020 to 2021,950
K04000001,England and Wales,2,Aged 16 to 24 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",-8,Does not apply,0
K04000001,England and Wales,2,Aged 16 to 24 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1,Born in the UK,35567
K04000001,England and Wales,2,Aged 16 to 24 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2,Arrived before 1971,0
K04000001,England and Wales,2,Aged 16 to 24 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3,Arrived 1971 to 1980,0
K04000001,England and Wales,2,Aged 16 to 24 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",4,Arrived 1981 to 1990,0
K04000001,England and Wales,2,Aged 16 to 24 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5,Arrived 1991 to 2000,437
K04000001,England and Wales,2,Aged 16 to 24 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",6,Arrived 2001 to 2010,3861
K04000001,England and Wales,2,Aged 16 to 24 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7,Arrived 2011 to 2013,985
K04000001,England and Wales,2,Aged 16 to 24 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",8,Arrived 2014 to 2016,978
K04000001,England and Wales,2,Aged 16 to 24 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9,Arrived 2017 to 2019,1051
K04000001,England and Wales,2,Aged 16 to 24 years,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",10,Arrived 2020 to 2021,503
K04000001,England and Wales,2,Aged 16 to 24 years,9,Mixed or Multiple ethnic groups: White and Asian,-8,Does not apply,0
K04000001,England and Wales,2,Aged 16 to 24 years,9,Mixed or Multiple ethnic groups: White and Asian,1,Born in the UK,68850
K04000001,England and Wales,2,Aged 16 to 24 years,9,Mixed or Multiple ethnic groups: White and Asian,2,Arrived before 1971,0
K04000001,England and Wales,2,Aged 16 to 24 years,9,Mixed or Multiple ethnic groups: White and Asian,3,Arrived 1971 to 1980,0
K04000001,England and Wales,2,Aged 16 to 24 years,9,Mixed or Multiple ethnic groups: White and Asian,4,Arrived 1981 to 1990,0
K04000001,England and Wales,2,Aged 16 to 24 years,9,Mixed or Multiple ethnic groups: White and Asian,5,Arrived 1991 to 2000,942
K04000001,England and Wales,2,Aged 16 to 24 years,9,Mixed or Multiple ethnic groups: White and Asian,6,Arrived 2001 to 2010,4681
K04000001,England and Wales,2,Aged 16 to 24 years,9,Mixed or Multiple ethnic groups: White and Asian,7,Arrived 2011 to 2013,1225
K04000001,England and Wales,2,Aged 16 to 24 years,9,Mixed or Multiple ethnic groups: White and Asian,8,Arrived 2014 to 2016,2121
K04000001,England and Wales,2,Aged 16 to 24 years,9,Mixed or Multiple ethnic groups: White and Asian,9,Arrived 2017 to 2019,2914
K04000001,England and Wales,2,Aged 16 to 24 years,9,Mixed or Multiple ethnic groups: White and Asian,10,Arrived 2020 to 2021,2242
K04000001,England and Wales,2,Aged 16 to 24 years,10,Mixed or Multiple ethnic groups: White and Black African,-8,Does not apply,0
K04000001,England and Wales,2,Aged 16 to 24 years,10,Mixed or Multiple ethnic groups: White and Black African,1,Born in the UK,29033
K04000001,England and Wales,2,Aged 16 to 24 years,10,Mixed or Multiple ethnic groups: White and Black African,2,Arrived before 1971,0
K04000001,England and Wales,2,Aged 16 to 24 years,10,Mixed or Multiple ethnic groups: White and Black African,3,Arrived 1971 to 1980,0
K04000001,England and Wales,2,Aged 16 to 24 years,10,Mixed or Multiple ethnic groups: White and Black African,4,Arrived 1981 to 1990,0
K04000001,England and Wales,2,Aged 16 to 24 years,10,Mixed or Multiple ethnic groups: White and Black African,5,Arrived 1991 to 2000,586
K04000001,England and Wales,2,Aged 16 to 24 years,10,Mixed or Multiple ethnic groups: White and Black African,6,Arrived 2001 to 2010,4196
K04000001,England and Wales,2,Aged 16 to 24 years,10,Mixed or Multiple ethnic groups: White and Black African,7,Arrived 2011 to 2013,1135
K04000001,England and Wales,2,Aged 16 to 24 years,10,Mixed or Multiple ethnic groups: White and Black African,8,Arrived 2014 to 2016,1609
K04000001,England and Wales,2,Aged 16 to 24 years,10,Mixed or Multiple ethnic groups: White and Black African,9,Arrived 2017 to 2019,2199
K04000001,England and Wales,2,Aged 16 to 24 years,10,Mixed or Multiple ethnic groups: White and Black African,10,Arrived 2020 to 2021,1314
K04000001,England and Wales,2,Aged 16 to 24 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,-8,Does not apply,0
K04000001,England and Wales,2,Aged 16 to 24 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,1,Born in the UK,90648
K04000001,England and Wales,2,Aged 16 to 24 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,2,Arrived before 1971,0
K04000001,England and Wales,2,Aged 16 to 24 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3,Arrived 1971 to 1980,0
K04000001,England and Wales,2,Aged 16 to 24 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,4,Arrived 1981 to 1990,0
K04000001,England and Wales,2,Aged 16 to 24 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,5,Arrived 1991 to 2000,247
K04000001,England and Wales,2,Aged 16 to 24 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,6,Arrived 2001 to 2010,1077
K04000001,England and Wales,2,Aged 16 to 24 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,7,Arrived 2011 to 2013,339
K04000001,England and Wales,2,Aged 16 to 24 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,8,Arrived 2014 to 2016,727
K04000001,England and Wales,2,Aged 16 to 24 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,9,Arrived 2017 to 2019,1593
K04000001,England and Wales,2,Aged 16 to 24 years,11,Mixed or Multiple ethnic groups: White and Black Caribbean,10,Arrived 2020 to 2021,819
K04000001,England and Wales,2,Aged 16 to 24 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,-8,Does not apply,0
K04000001,England and Wales,2,Aged 16 to 24 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1,Born in the UK,52527
K04000001,England and Wales,2,Aged 16 to 24 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2,Arrived before 1971,0
K04000001,England and Wales,2,Aged 16 to 24 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3,Arrived 1971 to 1980,0
K04000001,England and Wales,2,Aged 16 to 24 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4,Arrived 1981 to 1990,0
K04000001,England and Wales,2,Aged 16 to 24 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5,Arrived 1991 to 2000,894
K04000001,England and Wales,2,Aged 16 to 24 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6,Arrived 2001 to 2010,5177
K04000001,England and Wales,2,Aged 16 to 24 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7,Arrived 2011 to 2013,1427
K04000001,England and Wales,2,Aged 16 to 24 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8,Arrived 2014 to 2016,2581
K04000001,England and Wales,2,Aged 16 to 24 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,9,Arrived 2017 to 2019,4267
K04000001,England and Wales,2,Aged 16 to 24 years,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,10,Arrived 2020 to 2021,2849
K04000001,England and Wales,2,Aged 16 to 24 years,13,"White: English, Welsh, Scottish, Northern Irish or British",-8,Does not apply,0
K04000001,England and Wales,2,Aged 16 to 24 years,13,"White: English, Welsh, Scottish, Northern Irish or British",1,Born in the UK,4251524
K04000001,England and Wales,2,Aged 16 to 24 years,13,"White: English, Welsh, Scottish, Northern Irish or British",2,Arrived before 1971,0
K04000001,England and Wales,2,Aged 16 to 24 years,13,"White: English, Welsh, Scottish, Northern Irish or British",3,Arrived 1971 to 1980,0
K04000001,England and Wales,2,Aged 16 to 24 years,13,"White: English, Welsh, Scottish, Northern Irish or British",4,Arrived 1981 to 1990,0
K04000001,England and Wales,2,Aged 16 to 24 years,13,"White: English, Welsh, Scottish, Northern Irish or British",5,Arrived 1991 to 2000,11741
K04000001,England and Wales,2,Aged 16 to 24 years,13,"White: English, Welsh, Scottish, Northern Irish or British",6,Arrived 2001 to 2010,37248
K04000001,England and Wales,2,Aged 16 to 24 years,13,"White: English, Welsh, Scottish, Northern Irish or British",7,Arrived 2011 to 2013,7349
K04000001,England and Wales,2,Aged 16 to 24 years,13,"White: English, Welsh, Scottish, Northern Irish or British",8,Arrived 2014 to 2016,10775
K04000001,England and Wales,2,Aged 16 to 24 years,13,"White: English, Welsh, Scottish, Northern Irish or British",9,Arrived 2017 to 2019,16758
K04000001,England and Wales,2,Aged 16 to 24 years,13,"White: English, Welsh, Scottish, Northern Irish or British",10,Arrived 2020 to 2021,9393
K04000001,England and Wales,2,Aged 16 to 24 years,14,White: Irish,-8,Does not apply,0
K04000001,England and Wales,2,Aged 16 to 24 years,14,White: Irish,1,Born in the UK,21277
K04000001,England and Wales,2,Aged 16 to 24 years,14,White: Irish,2,Arrived before 1971,0
K04000001,England and Wales,2,Aged 16 to 24 years,14,White: Irish,3,Arrived 1971 to 1980,0
K04000001,England and Wales,2,Aged 16 to 24 years,14,White: Irish,4,Arrived 1981 to 1990,0
K04000001,England and Wales,2,Aged 16 to 24 years,14,White: Irish,5,Arrived 1991 to 2000,520
K04000001,England and Wales,2,Aged 16 to 24 years,14,White: Irish,6,Arrived 2001 to 2010,2010
K04000001,England and Wales,2,Aged 16 to 24 years,14,White: Irish,7,Arrived 2011 to 2013,598
K04000001,England and Wales,2,Aged 16 to 24 years,14,White: Irish,8,Arrived 2014 to 2016,1192
K04000001,England and Wales,2,Aged 16 to 24 years,14,White: Irish,9,Arrived 2017 to 2019,2426
K04000001,England and Wales,2,Aged 16 to 24 years,14,White: Irish,10,Arrived 2020 to 2021,2240
K04000001,England and Wales,2,Aged 16 to 24 years,15,White: Gypsy or Irish Traveller,-8,Does not apply,0
K04000001,England and Wales,2,Aged 16 to 24 years,15,White: Gypsy or Irish Traveller,1,Born in the UK,7488
K04000001,England and Wales,2,Aged 16 to 24 years,15,White: Gypsy or Irish Traveller,2,Arrived before 1971,0
K04000001,England and Wales,2,Aged 16 to 24 years,15,White: Gypsy or Irish Traveller,3,Arrived 1971 to 1980,0
K04000001,England and Wales,2,Aged 16 to 24 years,15,White: Gypsy or Irish Traveller,4,Arrived 1981 to 1990,0
K04000001,England and Wales,2,Aged 16 to 24 years,15,White: Gypsy or Irish Traveller,5,Arrived 1991 to 2000,48
K04000001,England and Wales,2,Aged 16 to 24 years,15,White: Gypsy or Irish Traveller,6,Arrived 2001 to 2010,441
K04000001,England and Wales,2,Aged 16 to 24 years,15,White: Gypsy or Irish Traveller,7,Arrived 2011 to 2013,251
K04000001,England and Wales,2,Aged 16 to 24 years,15,White: Gypsy or Irish Traveller,8,Arrived 2014 to 2016,381
K04000001,England and Wales,2,Aged 16 to 24 years,15,White: Gypsy or Irish Traveller,9,Arrived 2017 to 2019,646
K04000001,England and Wales,2,Aged 16 to 24 years,15,White: Gypsy or Irish Traveller,10,Arrived 2020 to 2021,315
K04000001,England and Wales,2,Aged 16 to 24 years,16,White: Roma,-8,Does not apply,0
K04000001,England and Wales,2,Aged 16 to 24 years,16,White: Roma,1,Born in the UK,1109
K04000001,England and Wales,2,Aged 16 to 24 years,16,White: Roma,2,Arrived before 1971,0
K04000001,England and Wales,2,Aged 16 to 24 years,16,White: Roma,3,Arrived 1971 to 1980,0
K04000001,England and Wales,2,Aged 16 to 24 years,16,White: Roma,4,Arrived 1981 to 1990,0
K04000001,England and Wales,2,Aged 16 to 24 years,16,White: Roma,5,Arrived 1991 to 2000,83
K04000001,England and Wales,2,Aged 16 to 24 years,16,White: Roma,6,Arrived 2001 to 2010,1533
K04000001,England and Wales,2,Aged 16 to 24 years,16,White: Roma,7,Arrived 2011 to 2013,856
K04000001,England and Wales,2,Aged 16 to 24 years,16,White: Roma,8,Arrived 2014 to 2016,1978
K04000001,England and Wales,2,Aged 16 to 24 years,16,White: Roma,9,Arrived 2017 to 2019,5201
K04000001,England and Wales,2,Aged 16 to 24 years,16,White: Roma,10,Arrived 2020 to 2021,2982
K04000001,England and Wales,2,Aged 16 to 24 years,17,White: Other White,-8,Does not apply,0
K04000001,England and Wales,2,Aged 16 to 24 years,17,White: Other White,1,Born in the UK,53086
K04000001,England and Wales,2,Aged 16 to 24 years,17,White: Other White,2,Arrived before 1971,0
K04000001,England and Wales,2,Aged 16 to 24 years,17,White: Other White,3,Arrived 1971 to 1980,0
K04000001,England and Wales,2,Aged 16 to 24 years,17,White: Other White,4,Arrived 1981 to 1990,0
K04000001,England and Wales,2,Aged 16 to 24 years,17,White: Other White,5,Arrived 1991 to 2000,4456
K04000001,England and Wales,2,Aged 16 to 24 years,17,White: Other White,6,Arrived 2001 to 2010,72807
K04000001,England and Wales,2,Aged 16 to 24 years,17,White: Other White,7,Arrived 2011 to 2013,29858
K04000001,England and Wales,2,Aged 16 to 24 years,17,White: Other White,8,Arrived 2014 to 2016,57124
K04000001,England and Wales,2,Aged 16 to 24 years,17,White: Other White,9,Arrived 2017 to 2019,96643
K04000001,England and Wales,2,Aged 16 to 24 years,17,White: Other White,10,Arrived 2020 to 2021,62233
K04000001,England and Wales,2,Aged 16 to 24 years,18,Other ethnic group: Arab,-8,Does not apply,0
K04000001,England and Wales,2,Aged 16 to 24 years,18,Other ethnic group: Arab,1,Born in the UK,19480
K04000001,England and Wales,2,Aged 16 to 24 years,18,Other ethnic group: Arab,2,Arrived before 1971,0
K04000001,England and Wales,2,Aged 16 to 24 years,18,Other ethnic group: Arab,3,Arrived 1971 to 1980,0
K04000001,England and Wales,2,Aged 16 to 24 years,18,Other ethnic group: Arab,4,Arrived 1981 to 1990,0
K04000001,England and Wales,2,Aged 16 to 24 years,18,Other ethnic group: Arab,5,Arrived 1991 to 2000,988
K04000001,England and Wales,2,Aged 16 to 24 years,18,Other ethnic group: Arab,6,Arrived 2001 to 2010,6693
K04000001,England and Wales,2,Aged 16 to 24 years,18,Other ethnic group: Arab,7,Arrived 2011 to 2013,2513
K04000001,England and Wales,2,Aged 16 to 24 years,18,Other ethnic group: Arab,8,Arrived 2014 to 2016,5627
K04000001,England and Wales,2,Aged 16 to 24 years,18,Other ethnic group: Arab,9,Arrived 2017 to 2019,9082
K04000001,England and Wales,2,Aged 16 to 24 years,18,Other ethnic group: Arab,10,Arrived 2020 to 2021,6905
K04000001,England and Wales,2,Aged 16 to 24 years,19,Other ethnic group: Any other ethnic group,-8,Does not apply,0
K04000001,England and Wales,2,Aged 16 to 24 years,19,Other ethnic group: Any other ethnic group,1,Born in the UK,48068
K04000001,England and Wales,2,Aged 16 to 24 years,19,Other ethnic group: Any other ethnic group,2,Arrived before 1971,0
K04000001,England and Wales,2,Aged 16 to 24 years,19,Other ethnic group: Any other ethnic group,3,Arrived 1971 to 1980,0
K04000001,England and Wales,2,Aged 16 to 24 years,19,Other ethnic group: Any other ethnic group,4,Arrived 1981 to 1990,0
K04000001,England and Wales,2,Aged 16 to 24 years,19,Other ethnic group: Any other ethnic group,5,Arrived 1991 to 2000,2307
K04000001,England and Wales,2,Aged 16 to 24 years,19,Other ethnic group: Any other ethnic group,6,Arrived 2001 to 2010,17371
K04000001,England and Wales,2,Aged 16 to 24 years,19,Other ethnic group: Any other ethnic group,7,Arrived 2011 to 2013,6109
K04000001,England and Wales,2,Aged 16 to 24 years,19,Other ethnic group: Any other ethnic group,8,Arrived 2014 to 2016,10248
K04000001,England and Wales,2,Aged 16 to 24 years,19,Other ethnic group: Any other ethnic group,9,Arrived 2017 to 2019,16375
K04000001,England and Wales,2,Aged 16 to 24 years,19,Other ethnic group: Any other ethnic group,10,Arrived 2020 to 2021,9297
K04000001,England and Wales,3,Aged 25 to 34 years,-8,Does not apply,-8,Does not apply,0
K04000001,England and Wales,3,Aged 25 to 34 years,-8,Does not apply,1,Born in the UK,0
K04000001,England and Wales,3,Aged 25 to 34 years,-8,Does not apply,2,Arrived before 1971,0
K04000001,England and Wales,3,Aged 25 to 34 years,-8,Does not apply,3,Arrived 1971 to 1980,0
