 ,England and Wales,Age (6 categories) Code,Age (6 categories),Ethnic group (20 categories) Code,Ethnic group (20 categories),Year of arrival in the UK (11 categories) Code,Year of arrival in the UK (11 categories),Observation
K04000001,England and Wales,1,Aged 15 years and under,4,"Asian, Asian British or Asian Welsh: Pakistani",-8,Does not apply,0
K04000001,England and Wales,1,Aged 15 years and under,4,"Asian, Asian British or Asian Welsh: Pakistani",1,Born in the UK,426516
K04000001,England and Wales,1,Aged 15 years and under,4,"Asian, Asian British or Asian Welsh: Pakistani",2,Arrived before 1971,0
K04000001,England and Wales,1,Aged 15 years and under,4,"Asian, Asian British or Asian Welsh: Pakistani",3,Arrived 1971 to 1980,0
K04000001,England and Wales,1,Aged 15 years and under,4,"Asian, Asian British or Asian Welsh: Pakistani",4,Arrived 1981 to 1990,0
K04000001,England and Wales,1,Aged 15 years and under,4,"Asian, Asian British or Asian Welsh: Pakistani",5,Arrived 1991 to 2000,0
K04000001,England and Wales,1,Aged 15 years and under,4,"Asian, Asian British or Asian Welsh: Pakistani",6,Arrived 2001 to 2010,5474
K04000001,England and Wales,1,Aged 15 years and under,4,"Asian, Asian British or Asian Welsh: Pakistani",7,Arrived 2011 to 2013,7066
K04000001,England and Wales,1,Aged 15 years and under,4,"Asian, Asian British or Asian Welsh: Pakistani",8,Arrived 2014 to 2016,11321
K04000001,England and Wales,1,Aged 15 years and under,4,"Asian, Asian British or Asian Welsh: Pakistani",9,Arrived 2017 to 2019,18308
K04000001,England and Wales,1,Aged 15 years and under,4,"Asian, Asian British or Asian Welsh: Pakistani",10,Arrived 2020 to 2021,7452
K04000001,England and Wales,1,Aged 15 years and under,5,"Asian, Asian British or Asian Welsh: Other Asian",-8,Does not apply,0
K04000001,England and Wales,1,Aged 15 years and under,5,"Asian, Asian British or Asian Welsh: Other Asian",1,Born in the UK,169761
K04000001,England and Wales,1,Aged 15 years and under,5,"Asian, Asian British or Asian Welsh: Other Asian",2,Arrived before 1971,0
K04000001,England and Wales,1,Aged 15 years and under,5,"Asian, Asian British or Asian Welsh: Other Asian",3,Arrived 1971 to 1980,0
K04000001,England and Wales,1,Aged 15 years and under,5,"Asian, Asian British or Asian Welsh: Other Asian",4,Arrived 1981 to 1990,0
K04000001,England and Wales,1,Aged 15 years and under,5,"Asian, Asian British or Asian Welsh: Other Asian",5,Arrived 1991 to 2000,0
K04000001,England and Wales,1,Aged 15 years and under,5,"Asian, Asian British or Asian Welsh: Other Asian",6,Arrived 2001 to 2010,5317
K04000001,England and Wales,1,Aged 15 years and under,5,"Asian, Asian British or Asian Welsh: Other Asian",7,Arrived 2011 to 2013,5135
K04000001,England and Wales,1,Aged 15 years and under,5,"Asian, Asian British or Asian Welsh: Other Asian",8,Arrived 2014 to 2016,7783
K04000001,England and Wales,1,Aged 15 years and under,5,"Asian, Asian British or Asian Welsh: Other Asian",9,Arrived 2017 to 2019,13873
